Lang,"(2001, 5, 30)","(2001, 6, 30)","(2001, 7, 30)","(2001, 8, 28)","(2001, 9, 26)","(2001, 10, 28)","(2001, 11, 31)","(2002, 0, 30)","(2002, 1, 27)","(2002, 2, 29)","(2002, 3, 29)","(2002, 4, 29)","(2002, 5, 29)","(2002, 6, 31)","(2002, 7, 29)","(2002, 8, 29)","(2002, 9, 30)","(2002, 10, 29)","(2002, 11, 31)","(2003, 0, 31)","(2003, 1, 28)","(2003, 2, 31)","(2003, 3, 30)","(2003, 4, 30)","(2003, 5, 30)","(2003, 6, 31)","(2003, 7, 31)","(2003, 8, 30)","(2003, 9, 31)","(2003, 10, 30)","(2003, 11, 31)","(2004, 0, 31)","(2004, 1, 29)","(2004, 2, 31)","(2004, 3, 30)","(2004, 4, 30)","(2004, 5, 30)","(2004, 6, 31)","(2004, 7, 30)","(2004, 8, 30)","(2004, 9, 31)","(2004, 10, 30)","(2004, 11, 31)","(2005, 0, 31)","(2005, 1, 28)","(2005, 2, 31)","(2005, 3, 30)","(2005, 4, 31)","(2005, 5, 30)","(2005, 6, 31)","(2005, 7, 31)","(2005, 8, 30)","(2005, 11, 3)","(2006, 0, 4)","(2006, 1, 2)","(2006, 2, 1)","(2006, 3, 2)","(2006, 4, 1)","(2006, 5, 1)","(2006, 6, 2)","(2006, 7, 2)","(2006, 8, 2)","(2006, 9, 1)","(2006, 10, 2)","(2006, 11, 1)","(2007, 0, 2)","(2007, 1, 3)","(2007, 2, 3)","(2007, 3, 1)","(2007, 4, 5)","(2007, 5, 2)","(2007, 6, 2)","(2007, 7, 5)","(2007, 8, 2)","(2007, 9, 4)","(2007, 10, 4)","(2007, 11, 3)","(2008, 0, 3)","(2008, 1, 7)","(2008, 5, 1)","(2008, 6, 2)","(2008, 7, 3)","(2008, 8, 3)","(2008, 9, 6)","(2008, 10, 2)","(2008, 11, 3)","(2009, 0, 2)","(2009, 1, 1)","(2009, 2, 5)","(2009, 3, 7)","(2009, 4, 1)","(2009, 5, 4)","(2009, 6, 2)","(2009, 7, 1)","(2009, 8, 5)","(2009, 9, 2)","(2009, 10, 2)","(2009, 11, 2)","(2010, 0, 5)","(2010, 1, 7)","(2010, 2, 7)","(2010, 3, 5)","(2010, 4, 15)","(2010, 6, 6)","(2010, 6, 30)","(2010, 8, 11)","(2010, 9, 2)","(2010, 10, 3)","(2010, 11, 7)","(2011, 0, 2)","(2011, 1, 8)","(2011, 2, 8)","(2011, 3, 3)","(2011, 4, 2)","(2011, 5, 5)","(2011, 5, 27)","(2011, 6, 8)","(2011, 7, 3)","(2011, 8, 10)","(2011, 9, 9)","(2011, 10, 7)","(2011, 11, 4)","(2012, 0, 8)","(2012, 1, 5)","(2012, 2, 11)","(2012, 3, 8)","(2012, 4, 9)","(2012, 5, 10)","(2012, 6, 4)","(2012, 7, 10)","(2012, 8, 2)","(2012, 9, 5)","(2012, 10, 4)","(2012, 11, 2)","(2013, 0, 5)","(2013, 1, 8)","(2013, 2, 11)","(2013, 3, 7)","(2013, 4, 8)","(2013, 5, 9)","(2013, 6, 7)","(2013, 6, 12)","(2013, 7, 4)","(2013, 8, 11)","(2013, 9, 10)","(2013, 10, 9)","(2013, 11, 6)","(2014, 0, 1)","(2014, 1, 8)","(2014, 2, 3)","(2014, 3, 10)","(2014, 4, 7)","(2014, 5, 8)","(2014, 6, 6)","(2014, 7, 11)","(2014, 8, 1)","(2014, 9, 3)","(2014, 10, 8)","(2014, 11, 7)","(2015, 0, 6)","(2015, 1, 5)","(2015, 2, 7)","(2015, 3, 13)","(2015, 4, 13)","(2015, 5, 6)","(2015, 6, 12)","(2015, 7, 6)","(2015, 8, 5)","(2015, 9, 4)","(2015, 10, 7)","(2015, 11, 4)","(2016, 0, 2)","(2016, 1, 2)","(2016, 2, 3)","(2016, 3, 7)","(2016, 4, 6)","(2016, 5, 5)","(2016, 6, 4)","(2016, 7, 6)","(2016, 8, 8)","(2016, 9, 7)","(2016, 10, 5)","(2016, 11, 4)","(2017, 0, 7)","(2017, 1, 8)","(2017, 2, 7)","(2017, 3, 9)","(2017, 4, 6)","(2017, 5, 3)","(2017, 6, 7)","(2017, 7, 2)","(2017, 8, 6)","(2017, 9, 5)","(2017, 10, 12)","(2017, 11, 9)","(2018, 0, 3)","(2018, 1, 8)","(2018, 2, 7)","(2018, 3, 1)","(2018, 4, 6)","(2018, 5, 10)","(2018, 6, 7)","(2018, 7, 1)","(2018, 8, 3)","(2018, 9, 5)","(2018, 10, 8)","(2018, 11, 2)","(2019, 0, 4)","(2019, 1, 6)","(2019, 2, 2)","(2019, 3, 7)","(2019, 4, 4)","(2019, 5, 9)","(2019, 6, 6)","(2019, 7, 5)","(2019, 8, 9)","(2019, 9, 5)","(2019, 10, 3)","(2019, 11, 6)","(2020, 0, 5)"
Java,26.491999999999997,25.028000000000002,24.66,24.816999999999997,25.676,24.369,24.195,24.063000000000002,24.005,24.409000000000002,25.049,25.195,24.195999999999998,24.534000000000002,22.886,24.482,24.201,24.116,24.226999999999997,24.791,24.775,24.596,24.664,23.108,22.337,23.209,22.241999999999997,21.901999999999997,23.084,25.008000000000003,23.573,22.564,23.173000000000002,24.24,18.692,17.539,17.055,16.997,15.895999999999999,17.05,14.804,16.332,17.477999999999998,18.34,18.871,16.980999999999998,17.397000000000002,18.569000000000003,19.659000000000002,21.206,22.441999999999997,21.871,22.128,22.255,22.43,21.889,21.275,21.316,21.128,21.853,22.377,21.531999999999996,21.171999999999997,20.4,19.907,19.16,18.977999999999998,18.044,18.36,19.14,20.025,21.014,21.768,21.701,21.616,20.541999999999998,20.049,20.849,21.483,20.89,21.345,21.570999999999998,20.715,20.949,20.299,17.917,19.022000000000002,19.401,19.797,19.340999999999998,19.537,20.147000000000002,20.452,19.527,19.383,18.65,18.373,17.061,17.482,17.348,17.509,18.051,17.957,18.673,17.994,17.915,18.166,18.509,17.999000000000002,17.773,18.482,19.711,19.043,18.16,18.58,18.58,19.250999999999998,19.409000000000002,18.761,17.913,17.874000000000002,17.561,17.468,17.05,17.11,17.026,16.599,16.265,16.087,16.352,16.267,17.192999999999998,17.455,17.567,17.417,18.387,18.156,17.680999999999997,16.914,16.656,15.905999999999999,15.905999999999999,15.978,16.154,16.107,16.521,17.311,16.523,17.316,16.406,17.348,16.907,16.113,15.687999999999999,14.984000000000002,14.14,13.505999999999998,14.390999999999998,14.959000000000001,15.527999999999999,15.345,15.58,16.041,16.869,17.822,17.727999999999998,19.274,19.565,19.543,20.403,20.973000000000003,21.465,21.145,20.528000000000002,20.846,20.956,20.794,19.804000000000002,19.01,18.236,18.799,18.755,17.855999999999998,17.278,16.676,16.384,15.568,14.639000000000001,14.493,13.774000000000001,12.960999999999999,12.687000000000001,12.431,13.231,13.267999999999999,14.215,14.988,14.940999999999999,15.777000000000001,16.38,15.368,16.139,16.881,17.436,17.801,16.746,15.932,16.904,15.876,14.88,15.035,16.005,15.004000000000001,15.058,16.028,16.660999999999998,16.884,16.246,17.253,16.896
C,20.24,20.773000000000003,20.747,20.772,19.750999999999998,19.212,20.136,18.825,19.887999999999998,19.852,19.82,19.987000000000002,19.573,19.250999999999998,18.162,18.695,18.727,17.505,17.259,18.249000000000002,18.54,17.213,18.017,18.500999999999998,18.516,17.969,17.776,18.309,17.002,18.473,18.6,18.195,18.928,17.75,17.951,18.29,17.144000000000002,16.335,17.122,18.172,17.992,19.695999999999998,20.709,19.82,19.465,18.63,18.522000000000002,19.368,19.846,19.473,19.16,18.773,19.632,19.008,18.33,17.794,17.688,17.69,18.253,17.829,17.43,18.059,17.664,17.198,16.616,15.807,16.104,15.633,14.937000000000001,15.152000000000001,15.967,16.363,15.699000000000002,14.908,14.591,13.969000000000001,13.173,13.915999999999999,14.859000000000002,15.513,15.945,16.178,15.379000000000001,15.565,15.276,15.017000000000001,15.931,15.837,15.862,15.472000000000001,16.128,16.779,17.319000000000003,17.22,16.861,16.843,17.315,16.285,16.215,16.602,17.279,18.058,18.186,18.48,17.866,17.147000000000002,17.177,16.717,16.076,15.822000000000001,14.985999999999999,15.262,16.162,16.17,16.278,16.278,17.28,17.39,18.002,17.707,17.322,17.057000000000002,16.967,16.523,17.087,17.555,17.346,17.725,18.331,18.937,19.295,19.822,19.224,18.695999999999998,17.855,17.08,17.141,17.862000000000002,18.729,17.809,17.628,17.628,15.974,16.975,17.246,18.155,17.89,17.944000000000003,18.334,17.535,17.631,16.926,16.191,17.145,16.401,16.721,17.655,17.469,17.588,16.703,16.488,16.642,15.745,16.847,16.788,16.147000000000002,14.732000000000001,15.620999999999999,16.19,17.145,16.46,16.035999999999998,15.594000000000001,14.6,13.905,13.222999999999999,12.376,12.238,11.302999999999999,10.955,9.835,9.203,8.726,9.349,8.445,7.742000000000001,6.966,7.002000000000001,6.848,7.321000000000001,6.477,7.382000000000001,8.374,9.293,10.158,11.037,11.857000000000001,12.76,13.589,14.0,14.936,14.662,14.966,15.447000000000001,15.376,14.395999999999999,14.282,13.337,12.424000000000001,13.305,14.075999999999999,14.243,13.3,14.210999999999999,15.154000000000002,15.205,16.18,16.037,16.086,15.773
Python,1.25,1.135,1.197,1.17,1.284,1.234,1.043,1.0170000000000001,0.987,0.9890000000000001,1.069,1.057,1.125,1.081,1.217,1.081,1.187,1.005,1.002,1.033,0.9740000000000001,0.988,1.0070000000000001,1.161,1.285,1.297,1.425,1.486,1.766,1.097,1.125,1.006,1.018,1.008,4.565,6.579,4.963,4.704,5.597,4.438,5.2,3.029,2.842,2.506,2.424,2.697,2.48,2.802,2.525,2.883,3.032,2.8819999999999997,2.678,2.605,2.6689999999999996,3.093,2.759,3.042,3.464,3.017,3.071,3.1439999999999997,3.466,3.641,3.762,3.502,3.5660000000000003,3.897,3.8139999999999996,3.779,3.161,3.0239999999999996,2.7489999999999997,3.025,3.4330000000000003,4.227,4.697,5.537999999999999,4.763,4.899,4.973,4.975,5.012,4.565,5.14,4.169,4.731,4.567,5.185,6.08,5.547999999999999,4.756,4.435,4.489,3.93,3.9010000000000002,4.672,5.185,4.453,4.314,4.23,4.205,4.0969999999999995,4.217,4.223,4.583,4.86,5.678999999999999,6.482,6.265,7.037999999999999,5.737,4.931,4.583,3.8989999999999996,3.8989999999999996,3.583,3.415,4.0,3.944,3.617,3.492,3.213,3.148,3.2910000000000004,3.665,3.819,3.8480000000000003,4.0,3.8760000000000003,3.861,3.895,4.062,3.8480000000000003,4.173,4.949,4.388,4.442,4.322,4.183,4.035,4.035,3.603,3.1689999999999996,3.1069999999999998,3.11,2.21,2.373,2.157,2.021,1.993,3.057,2.71,2.656,3.1210000000000004,2.782,2.333,2.589,2.287,2.613,2.8819999999999997,2.614,2.69,3.725,3.9989999999999997,4.257,4.066,3.6639999999999997,4.512,3.7710000000000004,4.428999999999999,3.8539999999999996,4.18,4.257,3.33,3.7889999999999997,3.9,4.166,4.404,4.302,3.775,3.5669999999999997,4.239,3.465,4.043,3.9189999999999996,3.457,3.548,4.333,3.543,3.6919999999999997,2.983,3.803,4.482,3.7769999999999997,4.678,5.167999999999999,5.869,5.803,5.192,5.761,6.361000000000001,6.992000000000001,7.653,7.156000000000001,7.683,8.376,8.294,7.574,8.262,8.166,7.83,8.53,9.26,10.02,9.874,9.089,9.842,10.308,9.704
C++,14.2,16.111,16.124000000000002,15.852,16.097,15.673,14.963,15.182,15.537,15.912,15.372,14.857000000000001,14.179,14.939,14.769,15.897,15.035,13.644,13.186,14.634,15.533,14.572000000000001,15.800999999999998,15.584000000000001,16.719,16.577,17.531,16.173,16.312,17.422,16.083,15.71,14.5,15.99,12.27,12.548,13.442,15.306,14.915999999999999,15.015999999999998,13.865,11.914000000000001,11.927,11.337,11.632,10.191,9.902999999999999,9.722000000000001,11.06,10.514000000000001,11.168,11.82,11.027000000000001,11.465,11.295,11.159,10.9,10.935,10.67,9.779,10.254000000000001,10.753,11.062999999999999,11.055,10.409,10.425,10.767999999999999,11.109000000000002,10.718,10.113999999999999,11.118,10.502,10.111,9.937999999999999,9.584,8.75,7.871,8.73,9.274,10.806,10.693,10.057,10.716,10.954,10.357000000000001,10.096,10.116,9.633,10.357000000000001,10.741,11.068,10.594000000000001,10.419,10.501,9.988,9.879,10.002,9.175,9.709,9.447000000000001,9.61,9.707,10.378,10.469000000000001,9.658,9.812000000000001,9.802,9.497,9.014,8.783,8.187000000000001,8.754,9.225,9.146,9.83,9.83,9.017000000000001,8.433,8.849,9.072000000000001,8.084,8.252,8.052,7.853,8.047,8.896,9.825,9.357999999999999,9.118,9.333,9.147,9.26,9.698,9.203,9.14,8.758,9.115,9.714,9.198,8.818999999999999,8.749,8.749,9.371,8.664,8.664,8.369,8.267999999999999,7.562,6.892,6.313,6.1370000000000005,5.986000000000001,6.425,5.52,4.695,4.6739999999999995,4.868,6.098,6.104,6.705,6.612,6.636,6.962000000000001,7.875,7.756,8.641,7.735,6.782,5.749,6.1979999999999995,5.943,6.914,6.907,6.721,5.917999999999999,6.6979999999999995,6.199,6.311,5.8,6.657,5.797000000000001,5.415,5.335,6.301,5.428999999999999,5.184,4.553999999999999,4.751,5.723,5.5760000000000005,5.55,5.565,5.007,5.343,4.717,5.603,5.726,6.452000000000001,7.218,7.667999999999999,8.337,7.615,7.471,7.394,7.593,8.282,7.562,8.158,7.444,8.126,8.838,8.095,7.3839999999999995,6.705,6.057,5.635,6.229,5.605,6.196000000000001,5.574
C#,0.385,0.429,0.384,0.391,0.424,0.764,0.591,0.616,0.7440000000000001,0.741,1.178,1.1640000000000001,1.464,1.36,1.464,1.653,1.78,2.38,2.455,1.986,1.976,2.377,1.8840000000000001,1.935,1.776,2.001,2.062,1.94,1.899,1.705,1.7990000000000002,2.177,2.237,2.137,1.8769999999999998,1.649,1.666,1.633,1.6340000000000001,1.6440000000000001,1.504,1.9469999999999998,2.2030000000000003,2.363,2.5269999999999997,2.82,2.767,2.783,3.142,3.485,3.29,3.4619999999999997,3.31,3.555,3.972,3.1460000000000004,3.948,3.2710000000000004,3.238,3.4010000000000002,2.6830000000000003,2.992,3.065,3.023,3.1710000000000003,3.5210000000000004,3.1889999999999996,3.365,3.551,3.656,3.483,3.71,3.987,3.583,3.74,3.917,3.9939999999999998,4.856,4.51,4.058,4.0,3.697,4.334,3.767,4.026,4.578,5.609,5.062,4.321000000000001,4.059,4.266,4.5360000000000005,4.54,4.4430000000000005,4.186,4.417,5.346,6.257999999999999,5.767,5.015,4.263999999999999,4.435,4.779,5.73,4.986000000000001,5.016,4.963,5.706,6.687,6.226,6.809,7.21,7.185,7.539,6.843999999999999,6.843999999999999,6.221,6.042000000000001,6.819,6.723,7.319,8.205,8.763,8.652999999999999,8.244,7.348,6.8229999999999995,7.026,6.667999999999999,6.59,6.596,6.53,5.591,5.547000000000001,6.196000000000001,6.68,6.597,6.15,6.119,5.7829999999999995,6.212000000000001,6.212000000000001,6.117000000000001,5.564,5.718,6.024,5.62,5.85,6.45,5.572,4.82,3.745,3.944,4.051,3.409,4.352,4.748,4.985,4.328,5.045,5.7379999999999995,4.923,4.947,5.263999999999999,5.056,5.652,4.837,4.909,4.825,4.3180000000000005,4.114,4.707,4.4,4.271,3.7960000000000003,4.481,3.786,3.92,4.907,5.492999999999999,4.367,3.659,3.1710000000000003,4.039,4.902,4.409,3.5789999999999997,3.457,3.53,3.5180000000000002,4.195,4.779,3.858,3.012,2.822,3.7539999999999996,4.453,5.067,5.265,4.402,4.314,3.795,3.5410000000000004,3.295,3.485,3.952,3.455,3.284,2.846,3.267,3.515,3.984,4.4830000000000005,4.365,3.842,3.3989999999999996,3.86,4.316,4.801,5.349
Visual Basic .NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32799999999999996,0.325,0.32299999999999995,0.259,0.263,0.588,0.563,0.342,0.479,0.434,0.434,0.484,0.46399999999999997,0.309,0.48100000000000004,0.5329999999999999,0.364,0.479,0.7959999999999999,0.784,0.978,1.274,1.216,0.917,0.877,0.84,0.599,0.769,0.889,1.043,1.0070000000000001,0.888,1.095,1.131,1.067,1.254,1.254,1.32,1.844,1.933,1.969,1.6880000000000002,1.557,1.798,1.8619999999999999,1.7480000000000002,1.264,1.9140000000000001,1.495,1.31,1.5319999999999998,1.751,2.061,2.235,1.074,2.026,2.326,2.126,2.968,3.168,2.423,2.708,2.062,2.4619999999999997,2.2230000000000003,2.39,2.582,2.454,2.5610000000000004,2.273,2.325,2.353,2.517,2.5180000000000002,2.343,2.66,3.167,3.302,2.96,2.824,3.174,3.2510000000000003,3.391,3.111,3.05,2.569,1.982,2.735,2.909,2.471,3.261,4.072,4.085,4.947,4.124,3.762,4.247,4.762,5.308,5.8839999999999995,6.49,7.127000000000001,6.459,7.095,6.428999999999999,5.795,5.193,4.624,4.208,3.695,3.2910000000000004,3.745,4.229,4.743,5.287000000000001
JavaScript,1.547,1.723,1.66,1.629,1.511,1.466,1.456,2.725,1.476,1.4680000000000002,1.3659999999999999,1.3630000000000002,1.433,1.1540000000000001,2.022,1.9080000000000001,1.9780000000000002,2.4859999999999998,2.423,2.915,2.806,2.6260000000000003,3.2560000000000002,1.715,1.686,1.791,1.8969999999999998,1.656,1.9180000000000001,1.7380000000000002,1.745,2.138,2.063,1.7830000000000001,1.778,1.45,1.61,1.681,1.51,1.2670000000000001,1.195,1.595,1.703,1.7790000000000001,1.65,1.642,1.443,1.3869999999999998,1.7790000000000001,1.921,1.768,2.036,1.838,1.538,1.5119999999999998,1.733,1.567,2.191,1.456,2.108,2.019,2.4419999999999997,2.202,2.31,2.562,2.845,2.9819999999999998,3.485,3.137,3.072,2.616,2.515,2.575,2.722,2.685,2.928,2.733,3.2030000000000003,2.334,2.927,2.7569999999999997,2.892,3.13,2.67,2.925,2.972,3.36,3.54,3.6069999999999998,3.678,3.548,4.021,3.513,2.812,2.995,3.025,2.9160000000000004,3.515,2.707,2.636,2.6510000000000002,2.469,2.084,2.432,2.401,1.665,1.659,1.6640000000000001,1.5090000000000001,1.589,2.5580000000000003,1.8659999999999999,1.5130000000000001,1.3940000000000001,1.501,1.501,2.242,1.557,1.469,2.191,2.565,2.199,2.316,2.465,3.386,2.8789999999999996,2.135,1.474,1.454,1.365,1.328,1.261,1.278,1.321,1.976,1.423,1.37,1.5090000000000001,1.536,1.6540000000000001,1.844,1.844,2.093,2.015,2.0380000000000003,2.05,1.8519999999999999,1.5759999999999998,1.929,1.899,1.75,1.788,2.0,1.806,2.1719999999999997,2.448,1.771,2.088,2.4330000000000003,3.2739999999999996,3.514,3.6289999999999996,3.2969999999999997,3.127,2.295,2.194,2.162,2.342,2.292,2.4730000000000003,2.363,2.565,2.201,2.333,2.5660000000000003,2.34,2.583,2.6430000000000002,2.705,2.929,2.7510000000000003,2.705,2.862,2.85,2.872,2.667,2.8510000000000004,3.071,3.025,2.6060000000000003,2.0980000000000003,2.017,3.01,2.972,2.474,3.465,3.165,3.9160000000000004,3.492,2.923,2.495,2.8310000000000004,2.411,2.131,2.28,2.655,3.063,3.302,2.8480000000000003,2.426,2.5069999999999997,2.69,2.716,2.3040000000000003,2.258,2.128,2.076,1.929,2.09,2.451
PHP,1.8969999999999998,1.3780000000000001,1.5530000000000002,1.5519999999999998,1.778,4.874,7.274,8.274,7.442,7.029,5.0489999999999995,5.215,5.178,6.497999999999999,5.349,4.96,5.275,7.297999999999999,7.611000000000001,4.493,4.0089999999999995,4.606,4.533,4.783,3.833,4.678999999999999,5.436,5.795,3.57,5.736000000000001,6.311,7.257000000000001,7.631,9.761000000000001,7.171,8.71,10.323,10.427,8.231,7.421,7.586,11.448,9.482000000000001,10.277999999999999,9.41,8.724,9.201,7.974,9.172,7.872999999999999,8.895,9.671,9.629,9.402000000000001,8.916,9.948,10.88,10.22,9.593,10.35,9.639,9.128,9.862,9.209,8.537,7.943,8.847000000000001,9.458,8.639,8.738,8.871,8.652999999999999,9.696,10.204,9.498,8.687000000000001,8.392999999999999,9.195,9.89,10.206,9.525,9.349,9.243,8.612,8.94,9.128,8.882,8.779,9.485,9.888,9.921,9.675,9.269,9.39,10.156,10.355,10.176,9.77,10.071,10.001,9.908,9.662,9.073,8.566,9.18,8.37,8.323,7.813,7.511,7.835,6.973,6.566,6.584,6.507999999999999,6.602,6.602,6.178999999999999,6.1339999999999995,6.596,6.818,6.096,6.001,5.702999999999999,5.641,5.555,5.287999999999999,5.711,5.287000000000001,5.012,5.524,5.614,5.669,5.732,5.541,5.546,5.074,4.809,5.428,5.784,5.987,7.186,7.186,6.694,6.43,6.093999999999999,5.379,5.281000000000001,4.6080000000000005,4.218999999999999,3.698,2.773,3.386,2.8480000000000003,2.9160000000000004,2.864,3.1210000000000004,2.9419999999999997,3.043,2.7460000000000004,3.784,3.17,3.997,3.009,2.72,2.8680000000000003,2.8930000000000002,2.7289999999999996,2.53,2.5610000000000004,3.248,2.792,2.7060000000000004,2.77,2.7680000000000002,2.9939999999999998,2.992,3.227,3.272,3.173,2.847,2.741,3.125,2.9189999999999996,2.5639999999999996,3.072,3.009,3.3760000000000003,2.693,2.7739999999999996,3.093,2.293,2.21,2.79,1.8969999999999998,1.59,2.532,3.42,4.01,4.218,3.321,2.8810000000000002,2.832,2.925,2.775,2.7939999999999996,2.376,2.4419999999999997,2.68,2.271,2.42,2.239,2.489,2.5669999999999997,2.167,2.075,1.8630000000000002,1.909,1.72,2.048,2.405
Swift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.054,0.6679999999999999,0.852,0.7609999999999999,0.8340000000000001,1.065,0.747,0.723,0.816,0.882,1.115,1.44,1.234,1.179,1.188,1.2770000000000001,1.236,1.405,1.3630000000000002,1.375,1.587,1.4780000000000002,1.5930000000000002,1.831,1.96,1.983,1.93,2.004,2.039,2.134,1.932,2.125,2.2680000000000002,2.287,2.274,2.209,2.253,1.825,1.765,1.6680000000000001,1.389,1.5659999999999998,2.377,1.794,2.1430000000000002,1.534,0.907,1.145,1.412,1.3840000000000001,1.2229999999999999,1.5,1.455,1.22,1.187,0.9179999999999999,1.158,0.978,1.15,1.419,1.121,0.89,1.1,1.3619999999999999,1.653,1.49,1.795
SQL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9560000000000004,2.766,2.383,2.3609999999999998,2.242,1.84,1.87,1.943,2.09,2.062,2.333,2.359,2.5269999999999997,2.66,2.654,2.544,2.638,2.38,2.519,2.559,2.505,2.562,2.6489999999999996,3.1189999999999998,3.04,2.9939999999999998,3.2439999999999998,3.718,3.697,2.926,3.095,3.513,3.0980000000000003,2.968,2.443,2.356,2.6860000000000004,2.65,1.9869999999999999,2.339,2.334,2.316,2.062,2.0380000000000003,1.844,2.184,2.2769999999999997,1.9,1.926,2.272,2.555,2.224,1.9769999999999999,1.625,1.944,1.935,1.69,1.8430000000000002,1.504
